BAIF_FM2_STATION_ID_1279_PERIOD_JULY012017_OCT012017 DEPTH_SENSOR_ID=3835 UNIT=M,
1/3/2018 6:05,0.04602
1/3/2018 6:10,0.04563
1/3/2018 6:15,0.04559
1/3/2018 6:20,0.04561
1/3/2018 6:25,0.04603
1/3/2018 6:30,0.04672
1/3/2018 6:35,0.04929
1/3/2018 6:40,0.04998
1/3/2018 6:45,0.05103
1/3/2018 6:50,0.05553
1/3/2018 6:55,0.05428
1/3/2018 7:00,0.05265
1/3/2018 7:05,0.05546
1/3/2018 7:10,0.06408
1/3/2018 7:15,0.06152
1/3/2018 7:20,0.05868
1/3/2018 7:25,0.05863
1/3/2018 7:30,0.058
1/3/2018 7:35,0.05802
1/3/2018 7:40,0.05827
1/3/2018 7:45,0.05925
1/3/2018 7:50,0.05871
1/3/2018 7:55,0.061099
1/3/2018 8:00,0.06644
1/3/2018 8:05,0.066099
1/3/2018 8:10,0.06525
1/3/2018 8:15,0.064768
1/3/2018 8:20,0.06512
1/3/2018 8:25,0.065169
1/3/2018 8:30,0.065349
1/3/2018 8:35,0.06418
1/3/2018 8:40,0.066849
1/3/2018 8:45,0.064739
1/3/2018 8:50,0.06856
1/3/2018 8:55,0.073989
1/3/2018 9:00,0.08576
1/3/2018 9:05,0.081599
1/3/2018 9:10,0.06904
1/3/2018 9:15,0.06864
1/3/2018 9:20,0.06871
1/3/2018 9:25,0.06881
1/3/2018 9:30,0.06931
1/3/2018 9:35,0.06971
1/3/2018 9:40,0.070909
1/3/2018 9:45,0.071049
1/3/2018 9:50,0.0692
1/3/2018 9:55,0.067029
1/3/2018 10:00,0.06593
1/3/2018 10:05,0.066849
1/3/2018 10:10,0.07015
1/3/2018 10:15,0.070689
1/3/2018 10:20,0.07381
1/3/2018 10:25,0.072209
1/3/2018 10:30,0.071549
1/3/2018 10:35,0.07148
1/3/2018 10:40,0.07693
1/3/2018 10:45,0.07228
1/3/2018 10:50,0.07259
1/3/2018 10:55,0.072769
1/3/2018 11:00,0.067058
1/3/2018 11:05,0.07024
1/3/2018 11:10,0.06735
1/3/2018 11:15,0.069939
1/3/2018 11:20,0.07573
1/3/2018 11:25,0.07569
1/3/2018 11:30,0.07567
1/3/2018 11:35,0.07569
1/3/2018 11:40,0.0755
1/3/2018 11:45,0.076879
1/3/2018 11:50,0.07314
1/3/2018 11:55,0.07612
1/3/2018 12:00,0.07745
1/3/2018 12:05,0.07619
1/3/2018 12:10,0.07522
1/3/2018 12:15,0.07518
1/3/2018 12:20,0.07273
1/3/2018 12:25,0.07289
1/3/2018 12:30,0.06835
1/3/2018 12:35,0.06821
1/3/2018 12:40,0.06795
1/3/2018 12:45,0.071989
1/3/2018 12:50,0.07218
1/3/2018 12:55,0.07217
1/3/2018 13:00,0.06856
1/3/2018 13:05,0.06712
1/3/2018 13:10,0.07342
1/3/2018 13:15,0.075159
1/3/2018 13:20,0.07486
1/3/2018 13:25,0.07654
1/3/2018 13:30,0.07689
1/3/2018 13:35,0.0769
1/3/2018 13:40,0.075489
1/3/2018 13:45,0.07508
1/3/2018 13:50,0.07195
1/3/2018 13:55,0.07109
1/3/2018 14:00,0.06767
1/3/2018 14:05,0.06576
1/3/2018 14:10,0.06701
1/3/2018 14:15,0.07062
1/3/2018 14:20,0.07089
1/3/2018 14:25,0.07084
1/3/2018 14:30,0.072189
1/3/2018 14:35,0.07214
1/3/2018 14:40,0.06901
1/3/2018 14:45,0.06978
1/3/2018 14:50,0.06973
1/3/2018 14:55,0.066389
1/3/2018 15:00,0.064099
1/3/2018 15:05,0.06437
1/3/2018 15:10,0.064309
1/3/2018 15:15,0.06551
1/3/2018 15:20,0.065559
1/3/2018 15:25,0.065709
1/3/2018 15:30,0.06754
1/3/2018 15:35,0.06712
1/3/2018 15:40,0.066819
1/3/2018 15:45,0.066919
1/3/2018 15:50,0.066279
1/3/2018 15:55,0.0673
1/3/2018 16:00,0.06768
1/3/2018 16:05,0.06698
1/3/2018 16:10,0.068329
1/3/2018 16:15,0.063839
1/3/2018 16:20,0.06616
1/3/2018 16:25,0.06644
1/3/2018 16:30,0.066448
1/3/2018 16:35,0.06651
1/3/2018 16:40,0.066499
1/3/2018 16:45,0.06622
1/3/2018 16:50,0.068969
1/3/2018 16:55,0.06647
1/3/2018 17:00,0.06727
1/3/2018 17:05,0.06515
1/3/2018 17:10,0.065878
1/3/2018 17:15,0.07478
1/3/2018 17:20,0.074519
1/3/2018 17:25,0.070969
1/3/2018 17:30,0.06949
1/3/2018 17:35,0.07154
1/3/2018 17:40,0.07148
1/3/2018 17:45,0.07393
1/3/2018 17:50,0.07309
1/3/2018 17:55,0.072489
1/3/2018 18:00,0.07109
1/3/2018 18:05,0.07161
1/3/2018 18:10,0.06931
1/3/2018 18:15,0.069499
1/3/2018 18:20,0.06785
1/3/2018 18:25,0.06655
1/3/2018 18:30,0.066109
1/3/2018 18:35,0.066268
1/3/2018 18:40,0.06629
1/3/2018 18:45,0.066249
1/3/2018 18:50,0.066268
1/3/2018 18:55,0.06372
1/3/2018 19:00,0.064279
1/3/2018 19:05,0.06314
1/3/2018 19:10,0.06375
1/3/2018 19:15,0.063849
1/3/2018 19:20,0.06315
1/3/2018 19:25,0.066889
1/3/2018 19:30,0.06866
1/3/2018 19:35,0.07071
1/3/2018 19:40,0.0712
1/3/2018 19:45,0.064949
1/3/2018 19:50,0.06533
1/3/2018 19:55,0.06537
1/3/2018 20:00,0.06555
1/3/2018 20:05,0.06768
1/3/2018 20:10,0.073769
1/3/2018 20:15,0.06865
1/3/2018 20:20,0.066359
1/3/2018 20:25,0.06698
1/3/2018 20:30,0.065819
1/3/2018 20:35,0.066249
1/3/2018 20:40,0.06468
1/3/2018 20:45,0.065319
1/3/2018 20:50,0.063319
1/3/2018 20:55,0.066878
1/3/2018 21:00,0.06393
1/3/2018 21:05,0.06208
1/3/2018 21:10,0.067469
1/3/2018 21:15,0.063669
1/3/2018 21:20,0.06414
1/3/2018 21:25,0.06178
1/3/2018 21:30,0.06223
1/3/2018 21:35,0.06576
1/3/2018 21:40,0.06662
1/3/2018 21:45,0.066698
1/3/2018 21:50,0.06669
1/3/2018 21:55,0.0659
1/3/2018 22:00,0.06404
1/3/2018 22:05,0.06228
1/3/2018 22:10,0.0583
1/3/2018 22:15,0.05886
1/3/2018 22:20,0.05859
1/3/2018 22:25,0.05892
1/3/2018 22:30,0.06234
1/3/2018 22:35,0.062599
1/3/2018 22:40,0.061709
1/3/2018 22:45,0.06176
1/3/2018 22:50,0.06087
1/3/2018 22:55,0.0594
1/3/2018 23:00,0.059379
1/3/2018 23:05,0.05922
1/3/2018 23:10,0.06026
1/3/2018 23:15,0.05643
1/3/2018 23:20,0.05584
1/3/2018 23:25,0.05579
1/3/2018 23:30,0.05563
